latitude,longitude,name
31.3201266,-104.7072145,fiftymilemex
31.3286261,-104.7019604,fiftymilemex
31.3353258,-104.7007177,fiftymilemex
31.3361257,-104.6921126,fiftymilemex
31.3294261,-104.6900553,fiftymilemex
31.3286261,-104.6841604,fiftymilemex
31.3265263,-104.6808737,fiftymilemex
31.3174268,-104.6768316,fiftymilemex
31.3195266,-104.6727183,fiftymilemex
31.3189267,-104.6684221,fiftymilemex
31.3119271,-104.6659666,fiftymilemex
31.3047275,-104.6575124,fiftymilemex
31.3093272,-104.6514831,fiftymilemex
31.3104271,-104.6450762,fiftymilemex
31.3125270,-104.6426628,fiftymilemex
31.3141269,-104.6317526,fiftymilemex
31.3108271,-104.6301736,fiftymilemex
31.3131270,-104.6297590,fiftymilemex
31.3096272,-104.6284812,fiftymilemex
31.2995277,-104.6212454,fiftymilemex
31.2969279,-104.6210620,fiftymilemex
31.3161268,-104.6188399,fiftymilemex
31.3038275,-104.6186181,fiftymilemex
31.2938280,-104.6179817,fiftymilemex
31.3161268,-104.6165399,fiftymilemex
31.2922281,-104.6134918,fiftymilemex
31.3044275,-104.6129143,fiftymilemex
31.3089272,-104.6117857,fiftymilemex
31.2930281,-104.6097867,fiftymilemex
31.2964279,-104.6077651,fiftymilemex
31.2984278,-104.6004524,fiftymilemex
31.3025276,-104.5967264,fiftymilemex
31.2968279,-104.5925626,fiftymilemex
31.2938280,-104.5868817,fiftymilemex
31.2876284,-104.5862210,fiftymilemex
31.2778289,-104.5760833,fiftymilemex
31.2831286,-104.5713496,fiftymilemex
31.2892283,-104.5693109,fiftymilemex
31.2898283,-104.5671071,fiftymilemex
31.2815287,-104.5648598,fiftymilemex
31.2627297,-104.5630791,fiftymilemex
31.2801288,-104.5578687,fiftymilemex
31.2637297,-104.5570727,fiftymilemex
31.2615298,-104.5529867,fiftymilemex
31.2649296,-104.5441651,fiftymilemex
31.2626298,-104.5420797,fiftymilemex
31.2607299,-104.5311918,fiftymilemex
31.2579300,-104.5281095,fiftymilemex
31.2545302,-104.5222311,fiftymilemex
31.2600299,-104.5201962,fiftymilemex
31.2531303,-104.5184400,fiftymilemex
31.2561301,-104.5155209,fiftymilemex
31.2512304,-104.5136520,fiftymilemex
31.2430308,-104.5133040,fiftymilemex
31.2541302,-104.5131336,fiftymilemex
31.2505304,-104.5120564,fiftymilemex
31.2401310,-104.5093223,fiftymilemex
31.2422309,-104.5082090,fiftymilemex
31.2340313,-104.5071610,fiftymilemex
31.2391310,-104.5049287,fiftymilemex
31.2325314,-104.5020705,fiftymilemex
31.2268317,-104.5001066,fiftymilemex
31.2274317,-104.4934028,fiftymilemex
31.2257318,-104.4894136,fiftymilemex
31.2203321,-104.4891477,fiftymilemex
31.2117325,-104.4843022,fiftymilemex
31.2135324,-104.4841908,fiftymilemex
31.2182322,-104.4822610,fiftymilemex
31.2153323,-104.4811794,fiftymilemex
31.2099326,-104.4800135,fiftymilemex
31.2119325,-104.4776009,fiftymilemex
31.2123325,-104.4712984,fiftymilemex
31.2138324,-104.4705889,fiftymilemex
31.2086327,-104.4674218,fiftymilemex
31.1998332,-104.4653774,fiftymilemex
31.2085327,-104.4644224,fiftymilemex
31.1961334,-104.4637008,fiftymilemex
31.2049329,-104.4633452,fiftymilemex
31.1980333,-104.4590888,fiftymilemex
31.1949334,-104.4565084,fiftymilemex
